StratigraphyID,GeologicTimePeriodID,SuperGroup,Group,Formation,Member,Bed,Remarks,Text1,Text2,Number1,Number2,TimestampCreated,TimestampModified,LastEditedBy,YesNo1,YesNo2
-2123955764,-717093083,,,Graford,Brownwood Shale,,,,,,,7/24/06,7/24/06,swest,,
-2123894530,1669379763,,,,Jacksonboro ls,,,,,,,6/14/02,6/14/02,topdog,,
-2083291647,-1622769790,,,Graham,Wayland sh,,,,,1,,9/27/06,9/27/06,jcounts,,
-2073698061,1419500962,,,McCloud ls.,,,,,,1,,11/13/03,11/13/03,etremain,,
-2071037126,75041858,,,Lake Valley (10' Above Ta,Alamogordo,,,,,,,11/6/00,5/31/02,topdog,,
-2062024727,75874628,,,,sh below Saddle Creek ls,,,,,,,6/18/02,6/18/02,topdog,,
-2051809335,181084154,,,Upper Harpersville,,,,,,,,7/21/06,7/21/06,swest,,
-2042258140,2133099450,,,,,,,,,,,10/2/06,10/2/06,cschafer,,
-2031634086,-1189461536,,,,,,,,,,,12/5/05,1/15/06,jcounts,,
-2026932566,-1068045561,,,,,,,,,,,6/20/02,6/20/02,topdog,,
-1996905273,1909766856,,,,,,,,,,,12/5/05,1/15/06,jcounts,,
-1995200907,789608382,,,,,,,,,,,6/25/02,6/25/02,topdog,,
-1982757827,-1689910133,,,,,,,,,,,6/25/02,9/12/02,topdog,,
-1898411427,1669379763,,,,Wayland sh mbr,,,,,,,6/14/02,6/14/02,topdog,,
-1891403411,192864478,,,,,,,,,,,6/20/02,6/20/02,topdog,,
-1879781625,1669379763,,,,Gunsight ls,,,,,,,6/19/02,6/19/02,topdog
-1869269130,,,,,,Camphophyllum bed,,,,,,6/19/02,6/19/02,topdog
-1863515780,-1353042348,,,,sh above Topeka ls mbr,,,,,,,6/18/02,6/18/02,topdog
-1851669099,181084154,,,Upper Harpersville,,,,,,,,7/24/06,7/24/06,swest
-1844689109,1909766856,,,,,,,,,,,1/15/06,1/15/06,jcounts
-1820249918,-1793834883,,,,Brownwood sh,,,,,,,6/25/02,6/25/02,topdog
-1808102487,1703934723,,,,Graford fm,,,,,,,6/18/02,6/18/02,topdog
-1789739976,-1920115982,,,,,,,,,,,6/20/02,6/20/02,topdog
-1760341914,1198430332,,,,,,,,,,,6/20/02,6/20/02,topdog
-1758785006,422849275,,,,U. Ford ls ?,,,,,,,6/14/02,6/14/02,topdog
-1756638960,-1617583794,,,,under Belle City ls,,,,,,,6/20/02,6/20/02,topdog
-1738995806,,,,Shackleton Limestone,,,,,,,,11/27/06,11/27/06,cschafer
-1725655753,-1274490401,,,,,,,,,,,6/20/02,6/20/02,topdog
-1696760301,181084154,,,Upper Harpersville,,,,,,,,7/24/06,7/24/06,swest
-1656587965,1155405967,,,,,,,,,,,6/14/02,6/14/02,topdog
-1653325754,1576393734,,,,,,,,,,,6/18/02,6/18/02,topdog
-1639762488,,,,,,sh below Waldrip + or - 10',,,,,,6/18/02,6/18/02,topdog
-1619495153,422849275,,,,,,,,,,,6/18/02,6/18/02,topdog
