County,Family,Genus Species,CommonName,LocalityName,Verbatim Locality,Latitude,Longitude,elevation,Collector,FieldNumber,Date
Hartford County,Boraginaceae,Myosotis stricta Link ex Roemer & J. A. Schultes,Blue Scorpion Grass,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, gravelly silt loam soil. Corolla light blue with white star ""eye"" and yellow ring at mouth of corolla tube, occasionalin 1 square m. patches, in full sun.  Native to Europe.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1121,21 April 2006
Hartford County,Lamiaceae,Lamium purpureum L.,Purple Deadnettle,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, gravelly silt loam soil. Leaves, flowers, and stem angles with strigose white hairs, corolla lavender with darker galea and dark purple spots on lip, 4 dark orange anthers with floccose hairs, ca. 2 dozen plants in full sun.  Native to Europe.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1122,21 April 2006
Hartford County,Lamiaceae,Glechoma hederacea L.,Ground Ivy,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, gravelly silt loam soil. Leaves and flowers puberulent, corolla lavender-blue with purple splotches on lip, 4 lavender anthers, pollen pale yellow, stiff brush of white hairs at corolla tube opening, scattered 0.5 square m. patches in full sun.Native to Europe.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1123,21 April 2006
Hartford County,Brassicaceae,Arabidopsis thaliana (L.) Heynh.,Thalecress,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, gravelly silt loam soil.  Leaves with stellate hairs, calyx yellow-green with purplish tips, pilose, corolla white, stamens with light yellow filaments and dark yellow anthers, scattered 0.5 square m. patches in full sun. Native to Europe.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1124,21 April 2006
Hartford County,Equisetaceae,Equisetum arvense L.,Field Horsetail,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, in full sun, gravelly silt loam soil. Fertile stems tan, spore cases brown, opening white below, common.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1125,21 April 2006
Hartford County,Plantaginaceae,Veronica arvensis L.,Corn Speedwell,Connecticut River Watershed,"Wethersfield, railroad embankment at Wells Road crossing east of Route 99, gravelly silt loam soil. Stems and leaves with long villous hairs, corolla light blue with darker veins, white toward base and inside tube, stamens 2, filaments and anthers white, in 2 square m. patches in full sun.  Native to Europe.",41 42 22.5. N,72 39 36. W,20,Walter T. Kittredge,1126,21 April 2006
Hartford County,Dryopteridaceae,Polystichum acrostichoides (Michx.) Schott,Christmas Fern,Connecticut River Watershed,"Wethersfield, gradual east slope of Cedar Mountain, a Holyokebasalt ridge, near Cedar Hill Cemetery, mixed deciduous/evergreen upland forest of Black Birch, Black Oak, & Sugar Maple with some Black Cherry & Hemlock (Betula lenta, Quercus velutina, Acer saccharum, Prunus serotina, Tsuga canadensis).  Last year?s evergreen fronds with this year?s fiddleheads, common, scattered and widespread.  Growing with White Wood Aster, Garlic Mustard & Mayflower (Eurybia divaricata, Alliaria petiolaris, Maianthemum canadense)",41 43 20. N,72 42 19. W,76,Walter T. Kittredge,1128,21 April 2006
Hartford County,Asteraceae,Antennaria plantaginifolia (L.) Richards.,Plantain-leaf Pussy-toes,Connecticut River Watershed,"Newington, top of west side of aCedar Mountain, a Holyoke basalt ridge, grass bald. Scattered plants in full sun also in shade of adjacent stunted forest of Hickory & White Oak (Carya sp. & Quercus alba), growing with Pennsylvania Sedge (Carex pensylvanica). Flowers white.",41 43 18. N,72 42 30. W,88,Walter T. Kittredge,1129,21 April 2006
Hartford County,Violaceae,Viola pedata L.,Bird-foot Violet,Connecticut River Watershed,"Newington, top of west side of Cedar Mountain, a Holyoke basalt ridge, grass bald, and rock outcrop, scattered plants in part shade to full sun, growing with Pennsylvania Sedge (Carex pensylvanica).  Petals dark lavender with white at base of lower petal, anther orange.",41 43 18. N,72 42 30. W,85-88,Walter T. Kittredge,1130,21 April 2006
Hartford County,Rosaceae,Amelanchier arborea (Michaux) Fernald,Downy Shadbush,Connecticut River Watershed,"Newington, west side of Cedar Mountain, a Holyoke basalt ridge, rock outcrop, single small tree to 10 feet, in full sun. Petals white.  A larger tree on adjacent talus slope is 20 feet high.",41 43 18. N,72 42 30. W,85,Walter T. Kittredge,1131,21 April 2006
